numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P2075,CLI-002,2026-04-03,PENDIENTE,ZONA1,true
P2076,CLI-001,2026-03-17,CONFIRMADO,ZONA1,true
P2077,CLI-002,2026-04-09,ENTREGADO,ZONA2,true
P2078,CLI-999,2026-03-23,PENDIENTE,ZONA1,true
P2079,CLI-001,2026-04-01,ENTREGADO,ZONA2,false
P2080,CLI-001,2026-03-18,ENTREGADO,ZONA1,false
P2081,CLI-002,2026-03-27,CONFIRMADO,ZONA3,false
P2082,CLI-001,2026-04-11,CONFIRMADO,ZONA2,true
P2083,CLI-002,2026-03-10,PENDIENTE,ZONA2,false
P2084,CLI-001,2026-03-30,EN_RUTA,ZONA1,false
P2085,CLI-001,2026-04-03,PENDIENTE,ZONA1,true
P2086,CLI-001,2026-03-26,CONFIRMADO,ZONA1,true
P2087,CLI-002,2026-04-01,ENTREGADO,ZONA2,false
P2088,CLI-002,2026-03-23,PROCESANDO,ZONA1,true
P2089,CLI-001,2026-03-23,PROCESANDO,ZONA1,false
P2090,CLI-001,2026-03-26,CONFIRMADO,ZONA2,false
P2091,CLI-001,2026-04-12,ENTREGADO,ZONA2,true
P2092,CLI-999,2026-03-27,PENDIENTE,ZONA2,false
P2093,CLI-001,2026-03-19,CONFIRMADO,ZONA2,false
P2094,CLI-001,2026-03-26,PENDIENTE,ZONA1,false
P2095,CLI-002,2026-03-08,ENTREGADO,ZONA2,false
P2096,CLI-001,2026-03-09,CONFIRMADO,ZONA1,true
P2097,CLI-002,2026-03-29,ENTREGADO,ZONA2,false
P2098,CLI-002,2026-04-06,CONFIRMADO,ZONA3,false
P2099,CLI-002,2026-03-27,CONFIRMADO,ZONA2,false
P2100,CLI-001,2026-04-07,CONFIRMADO,ZONA2,false
P2101,CLI-002,2026-03-30,ENTREGADO,ZONA1,true
P2102,CLI-001,2026-04-07,PENDIENTE,ZONA1,false
P2103,CLI-001,2026-03-06,CONFIRMADO,ZONA2,false
P2104,CLI-001,2026-03-22,ENTREGADO,ZONA1,true
P2105,CLI-001,2026-04-10,ERROR_ESTADO,ZONA2,false
P2106,CLI-002,2026-03-23,CONFIRMADO,ZONA2,false
P2107,CLI-002,2026-04-03,CANCELADO,ZONA2,false
P2108,CLI-001,2026-03-10,PENDIENTE,ZONA2,false
P2109,CLI-002,2026-03-25,ENTREGADO,ZONA2,false
P2110,CLI-002,2026-04-11,PROCESANDO,ZONA1,true
P2111,CLI-002,2026-03-23,ENTREGADO,ZONA2,false
P2112,CLI-001,2026-03-19,EN_RUTA,ZONA1,false
P2113,CLI-001,2026-03-28,CONFIRMADO,ZONA1,false
P2114,CLI-001,2026-03-10,CONFIRMADO,ZONA1,true
P2115,CLI-001,2026-04-10,PENDIENTE,ZONA3,false
P2116,CLI-001,2026-03-29,CONFIRMADO,ZONA2,false
P2117,CLI-001,2026-03-30,ENTREGADO,ZONA2,true
P2118,CLI-002,2026-04-08,ENTREGADO,ZONA1,false
P2119,CLI-001,2026-04-04,PENDIENTE,ZONA2,false
P2120,CLI-999,2026-04-13,CONFIRMADO,ZONA2,false
P2121,CLI-002,2026-03-08,ENTREGADO,ZONA1,false
P2122,CLI-002,2026-03-20,ENTREGADO,ZONA2,false
P2123,CLI-002,2026-04-04,CANCELADO,ZONA2,false
P2124,CLI-002,2026-03-29,EN_RUTA,ZONA2,false
P2125,CLI-002,2026-04-12,ENTREGADO,ZONA2,false
P2126,CLI-001,2026-04-14,PENDIENTE,ZONA2,false
P2127,CLI-002,2026-03-09,CONFIRMADO,ZONA2,false
P2128,CLI-001,2026-03-27,PENDIENTE,ZONA2,false
P2129,CLI-002,2026-03-30,EN_RUTA,ZONA2,false
P2130,CLI-002,2026-04-09,CONFIRMADO,ZONA2,false
P2131,CLI-001,2026-04-03,CONFIRMADO,ZONA1,false
P2132,CLI-002,2026-03-01,CONFIRMADO,ZONA2,false
P2133,CLI-001,2026-03-27,CONFIRMADO,ZONA2,false
P2134,CLI-999,2026-04-05,CONFIRMADO,ZONA2,false
P2135,CLI-002,2026-03-22,CONFIRMADO,ZONA1,false
P2136,CLI-002,2026-04-03,CONFIRMADO,ZONA2,false
P2137,CLI-002,2026-03-25,PENDIENTE,ZONA2,false
P2138,CLI-002,2026-03-29,CONFIRMADO,ZONA2,true
P2139,CLI-002,2026-03-21,PENDIENTE,ZONA1,false
P2140,CLI-002,2026-04-13,CONFIRMADO,ZONA2,false
P2141,CLI-002,2026-04-11,CONFIRMADO,ZONA1,true
P2142,CLI-001,2026-03-22,PENDIENTE,ZONA1,false
P2143,CLI-001,2026-04-15,PENDIENTE,ZONA1,false
P2144,CLI-002,2026-03-27,ENTREGADO,ZONA1,true
P2145,CLI-001,2026-03-30,PENDIENTE,ZONA1,false
P2146,CLI-001,2026-03-11,PENDIENTE,ZONA2,false
P2147,CLI-999,2026-04-08,PENDIENTE,ZONA1,false
P2148,CLI-999,2026-04-15,ENTREGADO,ZONA1,true
P2149,CLI-002,2026-04-11,PENDIENTE,ZONA3,false
P2150,CLI-001,2026-04-03,PENDIENTE,ZONA2,true
P2151,CLI-002,2026-03-09,PENDIENTE,ZONA2,false
P2152,CLI-999,2026-04-03,PENDIENTE,ZONA1,false
P2153,CLI-999,2026-04-05,ENTREGADO,ZONA1,true
P2154,CLI-001,2026-04-05,ENTREGADO,ZONA2,true
P2155,CLI-999,2026-03-21,CONFIRMADO,ZONA1,true
P2156,CLI-002,2026-04-07,CONFIRMADO,ZONA1,true
P2157,CLI-001,2026-03-25,ENTREGADO,ZONA3,false
P2158,CLI-999,2026-03-25,ENTREGADO,ZONA2,false
P2159,CLI-001,2026-03-25,ENTREGADO,ZONA1,false
P2160,CLI-002,2026-03-17,PENDIENTE,ZONA1,false
P2161,CLI-002,2026-04-05,PENDIENTE,ZONA1,false
P2162,CLI-001,2026-04-13,ENTREGADO,ZONA2,false
P2163,CLI-002,2026-03-07,CONFIRMADO,ZONA2,false
P2164,CLI-002,2026-03-18,ENTREGADO,ZONA2,true
P2165,CLI-002,2026-04-04,ERROR_ESTADO,ZONA2,false
P2166,CLI-001,2026-03-06,CONFIRMADO,ZONA2,false
P2167,CLI-001,2026-04-01,CONFIRMADO,ZONA1,false
P2168,CLI-002,2026-04-02,PENDIENTE,ZONA3,false
P2169,CLI-001,2026-03-24,CONFIRMADO,ZONA2,false
P2170,CLI-001,2026-04-02,CONFIRMADO,ZONA2,false
P2171,CLI-002,2026-03-28,ENTREGADO,ZONA1,true
P2172,CLI-002,2026-03-28,PENDIENTE,ZONA1,false
P2173,CLI-001,2026-03-17,CONFIRMADO,ZONA2,false
P2174,CLI-001,2026-03-28,ENTREGADO,ZONA1,true
P2175,CLI-002,2026-03-03,CONFIRMADO,ZONA2,false
P2176,CLI-999,2026-03-31,CONFIRMADO,ZONA1,true
P2177,CLI-002,2026-04-07,CANCELADO,ZONA1,false
P2178,CLI-001,2026-03-23,CONFIRMADO,ZONA1,false
P2179,CLI-001,2026-04-07,CONFIRMADO,ZONA1,false
P2180,CLI-002,2026-03-21,ENTREGADO,ZONA1,true
P2181,CLI-001,2026-03-21,ENTREGADO,ZONA1,false
P2182,CLI-001,2026-03-18,PENDIENTE,ZONA1,true
P2183,CLI-001,2026-04-10,ENTREGADO,ZONA1,true
P2184,CLI-002,2026-04-07,PENDIENTE,ZONA1,false
P2185,CLI-002,2026-03-23,CONFIRMADO,ZONA3,false
P2186,CLI-999,2026-03-19,CONFIRMADO,ZONA1,true
P2187,CLI-002,2026-03-20,PENDIENTE,ZONA2,true
P2188,CLI-999,2026-04-12,ENTREGADO,ZONA1,true
P2189,CLI-002,2026-04-05,PENDIENTE,ZONA2,false
P2190,CLI-002,2026-03-29,PENDIENTE,ZONA2,false
P2191,CLI-001,2026-04-06,ENTREGADO,ZONA2,true
P2192,CLI-002,2026-03-18,CONFIRMADO,ZONA1,true
P2193,CLI-002,2026-03-27,ENTREGADO,ZONA2,true
P2194,CLI-999,2026-03-31,PENDIENTE,ZONA2,false
P2195,CLI-001,2026-04-07,CONFIRMADO,ZONA2,false
P2196,CLI-999,2026-03-29,CONFIRMADO,ZONA2,false
P2197,CLI-002,2026-03-01,PENDIENTE,ZONA2,false
P2198,CLI-002,2026-03-31,ENTREGADO,ZONA3,false
P2199,CLI-002,2026-04-10,PENDIENTE,ZONA1,false
P2200,CLI-002,2026-04-08,ENTREGADO,ZONA2,false
P2201,CLI-001,2026-04-10,PENDIENTE,ZONA2,false
P2202,CLI-999,2026-03-17,ENTREGADO,ZONA2,false
P2203,CLI-001,2026-04-07,ERROR_ESTADO,ZONA2,false
P2204,CLI-001,2026-04-04,PENDIENTE,ZONA2,false
P2205,CLI-001,2026-03-29,CONFIRMADO,ZONA2,true
P2206,CLI-001,2026-04-10,CONFIRMADO,ZONA2,false
P2207,CLI-002,2026-04-05,CONFIRMADO,ZONA2,true
P2208,CLI-001,2026-03-24,ENTREGADO,ZONA1,false
P2209,CLI-001,2026-04-01,CONFIRMADO,ZONA2,false
P2210,CLI-002,2026-03-29,ERROR_ESTADO,ZONA1,true
P2211,CLI-001,2026-03-29,PENDIENTE,ZONA2,false
P2212,CLI-002,2026-04-03,PENDIENTE,ZONA2,false
P2213,CLI-001,2026-04-13,PENDIENTE,ZONA1,true
P2214,CLI-001,2026-03-29,PROCESANDO,ZONA2,false
P2215,CLI-001,2026-03-19,CONFIRMADO,ZONA1,true
P2216,CLI-001,2026-03-26,CONFIRMADO,ZONA1,false
P2217,CLI-001,2026-03-08,PENDIENTE,ZONA2,false
P2218,CLI-002,2026-04-10,PENDIENTE,ZONA2,false
P2219,CLI-001,2026-04-02,PENDIENTE,ZONA2,false
P2220,CLI-001,2026-04-13,PROCESANDO,ZONA1,true
P2221,CLI-001,2026-03-17,CANCELADO,ZONA1,true
P2222,CLI-001,2026-03-02,PENDIENTE,ZONA1,false
P2223,CLI-001,2026-03-26,ENTREGADO,ZONA2,false
P2224,CLI-001,2026-04-13,ENTREGADO,ZONA2,false
P2225,CLI-002,2026-03-23,PENDIENTE,ZONA2,false
P2226,CLI-001,2026-03-31,CONFIRMADO,ZONA2,false
P2227,CLI-002,2026-04-03,PROCESANDO,ZONA1,false
P2228,CLI-002,2026-04-02,ENTREGADO,ZONA2,true
P2229,CLI-001,2026-03-02,ENTREGADO,ZONA2,false
P2230,CLI-001,2026-03-22,ERROR_ESTADO,ZONA1,false
P2231,CLI-999,2026-03-29,CONFIRMADO,ZONA1,true
P2232,CLI-002,2026-04-02,CONFIRMADO,ZONA1,true
P2233,CLI-001,2026-03-17,ERROR_ESTADO,ZONA2,false
P2234,CLI-999,2026-04-06,ENTREGADO,ZONA1,false
P2235,CLI-001,2026-03-24,PENDIENTE,ZONA1,false
P2236,CLI-001,2026-03-24,PENDIENTE,ZONA3,false
P2237,CLI-001,2026-03-30,CONFIRMADO,ZONA1,false
P2238,CLI-001,2026-04-11,CONFIRMADO,ZONA2,false
P2239,CLI-001,2026-04-08,ENTREGADO,ZONA2,false
P2240,CLI-001,2026-04-03,PENDIENTE,ZONA2,true
P2241,CLI-001,2026-04-08,CONFIRMADO,ZONA2,false
P2242,CLI-001,2026-03-20,CONFIRMADO,ZONA2,false
P2243,CLI-999,2026-04-09,PENDIENTE,ZONA2,false
P2244,CLI-002,2026-03-23,ENTREGADO,ZONA2,false
P2245,CLI-001,2026-04-04,PENDIENTE,ZONA2,false
P2246,CLI-001,2026-04-02,PENDIENTE,ZONA1,true
P2247,CLI-002,2026-03-22,ERROR_ESTADO,ZONA1,true
P2248,CLI-001,2026-04-07,ERROR_ESTADO,ZONA2,false
P2249,CLI-001,2026-04-09,CONFIRMADO,ZONA2,false
P2250,CLI-002,2026-04-10,ENTREGADO,ZONA2,false
P2251,CLI-002,2026-03-24,CANCELADO,ZONA2,false
P2252,CLI-001,2026-03-07,PENDIENTE,ZONA2,false
P2253,CLI-002,2026-04-02,CONFIRMADO,ZONA2,true
P2254,CLI-001,2026-03-16,PROCESANDO,ZONA2,false
P2255,CLI-002,2026-04-04,ENTREGADO,ZONA2,false
P2256,CLI-002,2026-03-23,PENDIENTE,ZONA2,false
P2257,CLI-002,2026-04-01,PENDIENTE,ZONA2,false
P2258,CLI-001,2026-03-29,PENDIENTE,ZONA2,false
P2259,CLI-001,2026-04-11,PENDIENTE,ZONA1,true
P2260,CLI-002,2026-04-13,CONFIRMADO,ZONA2,false
P2261,CLI-002,2026-03-21,PENDIENTE,ZONA2,false
P2262,CLI-999,2026-03-25,PENDIENTE,ZONA2,false
P2263,CLI-001,2026-03-19,ENTREGADO,ZONA2,false
P2264,CLI-002,2026-03-25,PENDIENTE,ZONA3,false
P2265,CLI-001,2026-03-31,ENTREGADO,ZONA1,true
P2266,CLI-001,2026-04-02,ERROR_ESTADO,ZONA1,false
P2267,CLI-001,2026-03-24,PENDIENTE,ZONA2,false
P2268,CLI-001,2026-03-29,PENDIENTE,ZONA3,false
P2269,CLI-001,2026-04-04,ENTREGADO,ZONA1,true
P2270,CLI-999,2026-03-20,PENDIENTE,ZONA2,false
P2271,CLI-002,2026-04-01,CONFIRMADO,ZONA2,false
P2272,CLI-002,2026-03-18,CONFIRMADO,ZONA2,false
P2273,CLI-001,2026-04-08,ERROR_ESTADO,ZONA1,true
P2274,CLI-002,2026-03-17,PENDIENTE,ZONA2,true
P2275,CLI-002,2026-03-24,ENTREGADO,ZONA3,false
P2276,CLI-001,2026-04-08,CONFIRMADO,ZONA2,false
P2277,CLI-999,2026-04-03,ENTREGADO,ZONA1,true
P2278,CLI-001,2026-03-20,ENTREGADO,ZONA1,false
P2279,CLI-002,2026-03-30,EN_RUTA,ZONA1,true
P2280,CLI-001,2026-04-12,PENDIENTE,ZONA1,false
P2281,CLI-002,2026-03-08,ENTREGADO,ZONA2,false
P2282,CLI-002,2026-04-12,PENDIENTE,ZONA1,true
P2283,CLI-002,2026-03-19,PENDIENTE,ZONA2,false
P2284,CLI-001,2026-03-26,ENTREGADO,ZONA2,false
P2285,CLI-001,2026-04-07,PENDIENTE,ZONA2,false
P2286,CLI-002,2026-03-21,PROCESANDO,ZONA2,false
P2287,CLI-002,2026-04-03,PENDIENTE,ZONA2,true
P2288,CLI-002,2026-04-10,PENDIENTE,ZONA2,false
P2289,CLI-002,2026-04-10,CONFIRMADO,ZONA1,true
P2290,CLI-002,2026-03-21,PENDIENTE,ZONA1,false
P2291,CLI-001,2026-03-25,ENTREGADO,ZONA1,false
P2292,CLI-001,2026-03-20,PENDIENTE,ZONA2,true
P2293,CLI-001,2026-03-08,PENDIENTE,ZONA1,false
P2294,CLI-999,2026-03-18,PENDIENTE,ZONA1,true
P2295,CLI-002,2026-03-22,PENDIENTE,ZONA1,true
P2296,CLI-001,2026-03-19,PROCESANDO,ZONA2,false
P2297,CLI-001,2026-03-21,ENTREGADO,ZONA2,false
P2298,CLI-001,2026-03-29,PENDIENTE,ZONA2,true
P2299,CLI-001,2026-03-30,ERROR_ESTADO,ZONA1,false
P2300,CLI-001,2026-04-13,PENDIENTE,ZONA2,false
P2301,CLI-001,2026-04-08,PENDIENTE,ZONA1,true
P2302,CLI-002,2026-03-29,PENDIENTE,ZONA2,false
P2303,CLI-001,2026-04-12,PENDIENTE,ZONA1,false
P2304,CLI-002,2026-04-01,PENDIENTE,ZONA3,false
P2305,CLI-002,2026-03-28,CONFIRMADO,ZONA1,false
P2306,CLI-999,2026-03-20,CONFIRMADO,ZONA2,false
P2307,CLI-002,2026-03-27,CONFIRMADO,ZONA1,true
P2308,CLI-001,2026-04-13,CONFIRMADO,ZONA2,false
P2309,CLI-001,2026-04-06,CONFIRMADO,ZONA2,false
P2310,CLI-999,2026-04-09,ENTREGADO,ZONA2,false
P2311,CLI-002,2026-03-21,PENDIENTE,ZONA1,false
P2312,CLI-002,2026-04-06,ENTREGADO,ZONA2,false
P2313,CLI-002,2026-03-28,CONFIRMADO,ZONA2,false
P2314,CLI-001,2026-03-10,ENTREGADO,ZONA2,false
P2315,CLI-001,2026-03-26,PENDIENTE,ZONA2,false
P2316,CLI-002,2026-03-16,PENDIENTE,ZONA3,false
P2317,CLI-002,2026-04-11,PENDIENTE,ZONA2,false
P2318,CLI-999,2026-03-29,ENTREGADO,ZONA2,false
P2319,CLI-001,2026-03-16,CONFIRMADO,ZONA3,false
P2320,CLI-002,2026-03-30,PENDIENTE,ZONA1,true
P2321,CLI-001,2026-04-10,ENTREGADO,ZONA1,false
P2322,CLI-001,2026-04-11,ENTREGADO,ZONA2,false
P2323,CLI-999,2026-03-16,CONFIRMADO,ZONA1,false
P2324,CLI-001,2026-03-19,PENDIENTE,ZONA2,true
P2325,CLI-001,2026-04-11,CONFIRMADO,ZONA2,false
P2326,CLI-001,2026-03-27,PENDIENTE,ZONA3,false
P2327,CLI-999,2026-03-21,ENTREGADO,ZONA2,false
P2328,CLI-002,2026-03-19,ENTREGADO,ZONA3,false
P2329,CLI-002,2026-04-13,PENDIENTE,ZONA3,false
P2330,CLI-002,2026-03-28,PENDIENTE,ZONA2,true
P2331,CLI-001,2026-03-18,ENTREGADO,ZONA2,false
P2332,CLI-002,2026-04-08,PENDIENTE,ZONA1,true
P2333,CLI-001,2026-04-04,PENDIENTE,ZONA2,true
P2334,CLI-001,2026-04-05,PENDIENTE,ZONA1,true
P2335,CLI-001,2026-03-31,PENDIENTE,ZONA3,false
P2336,CLI-001,2026-03-24,PENDIENTE,ZONA2,true
P2337,CLI-002,2026-04-01,ENTREGADO,ZONA3,false
P2338,CLI-002,2026-03-19,CONFIRMADO,ZONA2,false
P2339,CLI-999,2026-03-31,PENDIENTE,ZONA2,false
P2340,CLI-002,2026-04-10,ENTREGADO,ZONA2,true
P2341,CLI-999,2026-03-28,ENTREGADO,ZONA2,false
P2342,CLI-001,2026-04-07,ERROR_ESTADO,ZONA2,false
P2343,CLI-001,2026-04-04,ENTREGADO,ZONA1,true
P2344,CLI-002,2026-03-31,PENDIENTE,ZONA1,false
P2345,CLI-001,2026-03-21,CONFIRMADO,ZONA3,false
P2346,CLI-001,2026-03-29,PENDIENTE,ZONA3,false
P2347,CLI-002,2026-04-07,CONFIRMADO,ZONA3,false
P2348,CLI-002,2026-04-12,CONFIRMADO,ZONA3,false
P2349,CLI-001,2026-04-11,CONFIRMADO,ZONA2,false
P2350,CLI-001,2026-03-20,ENTREGADO,ZONA2,false
P2351,CLI-002,2026-04-01,PROCESANDO,ZONA1,false
P2352,CLI-001,2026-04-04,ENTREGADO,ZONA2,true
P2353,CLI-001,2026-04-15,EN_RUTA,ZONA2,false
P2354,CLI-002,2026-03-23,CONFIRMADO,ZONA3,false
P2355,CLI-001,2026-03-18,ENTREGADO,ZONA2,false
P2356,CLI-002,2026-03-16,CONFIRMADO,ZONA2,false
P2357,CLI-001,2026-03-16,CONFIRMADO,ZONA2,false
P2358,CLI-002,2026-03-20,ENTREGADO,ZONA3,false
P2359,CLI-002,2026-03-21,PENDIENTE,ZONA2,false
P2360,CLI-001,2026-03-01,PENDIENTE,ZONA2,false
P2361,CLI-002,2026-03-16,ENTREGADO,ZONA2,true
P2362,CLI-002,2026-04-04,CONFIRMADO,ZONA3,false
P2363,CLI-999,2026-03-22,CONFIRMADO,ZONA1,true
P2364,CLI-001,2026-03-17,PENDIENTE,ZONA1,false
P2365,CLI-001,2026-03-30,PENDIENTE,ZONA2,true
P2366,CLI-001,2026-04-15,CONFIRMADO,ZONA3,false
P2367,CLI-999,2026-04-15,PENDIENTE,ZONA1,true
P2368,CLI-002,2026-03-04,CONFIRMADO,ZONA1,true
P2369,CLI-001,2026-04-01,PENDIENTE,ZONA1,false
P2370,CLI-001,2026-03-10,CONFIRMADO,ZONA2,false
P2371,CLI-999,2026-03-20,PENDIENTE,ZONA2,false
P2372,CLI-001,2026-04-14,PROCESANDO,ZONA1,false
P2373,CLI-002,2026-03-24,PENDIENTE,ZONA3,false
P2374,CLI-001,2026-04-05,ENTREGADO,ZONA1,false
P2375,CLI-002,2026-04-07,ENTREGADO,ZONA3,false
P2376,CLI-999,2026-03-18,PENDIENTE,ZONA1,true
P2377,CLI-001,2026-03-16,CONFIRMADO,ZONA3,false
P2378,CLI-002,2026-03-21,CONFIRMADO,ZONA1,false
P2379,CLI-002,2026-04-09,CONFIRMADO,ZONA1,true
P2380,CLI-001,2026-03-30,ENTREGADO,ZONA2,true
P2381,CLI-002,2026-04-14,PENDIENTE,ZONA3,false
P2382,CLI-002,2026-04-09,CONFIRMADO,ZONA2,false
P2383,CLI-999,2026-03-27,ENTREGADO,ZONA1,false
P2384,CLI-001,2026-03-24,CONFIRMADO,ZONA2,false
P2385,CLI-001,2026-03-08,ENTREGADO,ZONA1,true
P2386,CLI-001,2026-03-30,EN_RUTA,ZONA1,true
P2387,CLI-002,2026-03-26,PENDIENTE,ZONA3,false
P2388,CLI-002,2026-03-26,ENTREGADO,ZONA2,false
P2389,CLI-002,2026-03-04,PENDIENTE,ZONA1,false
P2390,CLI-001,2026-04-04,ENTREGADO,ZONA2,false
P2391,CLI-002,2026-04-04,PROCESANDO,ZONA2,false
P2392,CLI-002,2026-03-29,PENDIENTE,ZONA2,false
P2393,CLI-001,2026-03-08,CONFIRMADO,ZONA2,false
P2394,CLI-002,2026-04-08,CANCELADO,ZONA1,true
P2395,CLI-001,2026-03-24,ENTREGADO,ZONA1,true
P2396,CLI-002,2026-03-25,PENDIENTE,ZONA1,false
P2397,CLI-999,2026-03-28,CONFIRMADO,ZONA1,true
P2398,CLI-001,2026-04-10,CONFIRMADO,ZONA1,false
P2399,CLI-002,2026-03-29,PENDIENTE,ZONA1,false
P2400,CLI-001,2026-03-22,ENTREGADO,ZONA2,false
P2401,CLI-001,2026-03-07,CONFIRMADO,ZONA2,false
P2402,CLI-002,2026-03-19,CONFIRMADO,ZONA1,true
P2403,CLI-002,2026-03-06,CONFIRMADO,ZONA2,false
P2404,CLI-001,2026-03-10,PENDIENTE,ZONA2,false
P2405,CLI-999,2026-04-13,PENDIENTE,ZONA1,false
P2406,CLI-001,2026-03-02,ENTREGADO,ZONA1,true
P2407,CLI-001,2026-03-21,CANCELADO,ZONA1,true
P2408,CLI-999,2026-03-31,PENDIENTE,ZONA2,false
P2409,CLI-002,2026-04-14,ENTREGADO,ZONA2,false
P2410,CLI-001,2026-03-21,ENTREGADO,ZONA1,true
P2411,CLI-001,2026-03-18,PENDIENTE,ZONA2,false
P2412,CLI-001,2026-03-26,PENDIENTE,ZONA1,false
P2413,CLI-002,2026-04-04,CONFIRMADO,ZONA1,true
P2414,CLI-001,2026-04-13,CONFIRMADO,ZONA3,false
P2415,CLI-001,2026-04-13,ENTREGADO,ZONA2,false
P2416,CLI-001,2026-04-13,ENTREGADO,ZONA2,false
